what airlin from ci0 to ci1	( lambda $0 e ( exists $1 ( and ( from $1 ci0 ) ( to $1 ci1 ) ( = ( airline:e $1 ) $0 ) ) ) )
what flight do you have in the morn of mn0 dn0 on al0 from ci1 to ci0 and a stopov in ci2	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( during_day $0 morning:pd ) ( from $0 ci1 ) ( to $0 ci0 ) ( stop $0 ci2 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ) )
what is the cost of a round trip flight from ci0 to ci1 begin on mn0 dn0 and return on mn1 dn1	( lambda $0 e ( exists $1 ( and ( flight $1 ) ( round_trip $1 ) ( from $1 ci0 ) ( to $1 ci1 ) ( day_number $1 dn0 ) ( month $1 mn0 ) ( = ( fare $1 ) $0 ) ) ) )
i would like a flight from ci0 to ci1 leav at ti0 on mn0 dn0	( lambda $0 e ( and ( month $0 mn0 ) ( departure_time $0 ti0 ) ( to $0 ci1 ) ( from $0 ci0 ) ( flight $0 ) ( day_number $0 dn0 ) ) )
are there ani nonstop flight from ci0 to ci1 that arriv befor ti0	( lambda $0 e ( and ( flight $0 ) ( nonstop $0 ) ( < ( arrival_time $0 ) ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
i need a flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
i'd like to fli nonstop from ci0 to ci1 and get there at ti0	( lambda $0 e ( and ( flight $0 ) ( nonstop $0 ) ( arrival_time $0 ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
give me da0 nonstop flight from ci1 to ci0	( lambda $0 e ( and ( flight $0 ) ( nonstop $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( day $0 da0 ) ) )
what is the type of aircraft for al0 fn0	( lambda $0 e ( exists $1 ( and ( flight $1 ) ( airline $1 al0 ) ( flight_number $1 fn0 ) ( = ( aircraft_code $1 ) $0 ) ) ) )
can you give me inform on transport from the ap0 to downtown ci0	( lambda $0 e ( and ( ground_transport $0 ) ( from_airport $0 ap0 ) ( to_city $0 ci0 ) ) )
list flight from ci0 to ci1 on da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
what is the fare go from ci0 to ci1 one way on mn0 dn0	( lambda $0 e ( exists $1 ( and ( oneway $1 ) ( from $1 ci0 ) ( to $1 ci1 ) ( day_number $1 dn0 ) ( month $1 mn0 ) ( = ( fare $1 ) $0 ) ) ) )
i would like to see the flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
on al0 how mani flight leav ci0 on mn0 dn0 to ci1 nonstop	( count $0 ( and ( flight $0 ) ( nonstop $0 ) ( airline $0 al0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ) )
what is the earliest flight from ci0 to ci1	( argmin $0 ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( departure_time $0 ) )
all flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
flight from ci1 to ci0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ) )
show me first class fare from ci0 to ci1	( lambda $0 e ( exists $1 ( and ( class_type $1 first:cl ) ( from $1 ci0 ) ( to $1 ci1 ) ( = ( fare $1 ) $0 ) ) ) )
find travel arrang for a round trip flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( round_trip $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
show me flight from ci1 to ci0 on da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( day $0 da0 ) ) )
show me flight between ci0 citi and ci1 on da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
what flight do you have from ci0 to ci1 washington	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
show flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
show me airlin abbrevi	( lambda $0 e ( airline $0 ) )
show me all the avail flight from ci0 to ci1 with economi fare	( lambda $0 e ( and ( flight $0 ) ( economy $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
is fare code fb0 the same al0 busi class	( lambda $0 e ( and ( fare_basis_code $0 fb0 ) ( booking_class $0 business:cl ) ) )
all flight and fare from ci0 to ci1 round trip after ti0 less than do0	( lambda $0 e ( exists $1 ( and ( flight $0 ) ( > ( departure_time $0 ) ti0 ) ( < ( fare $0 ) do0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( = ( fare $0 ) $1 ) ) ) )
show me all flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
i need flight inform leav ci0 and arriv in ci1 for da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
i need to spend much of a day on the ground in ci0 find me an earli flight from ci1 and the lastest possibl flight back from ci0	( lambda $0 e ( exists $1 ( and ( = $0 ( argmin $2 ( and ( flight $2 ) ( from $0 ci1 ) ( to $0 ci0 ) ) ( arrival_time $2 ) ) ) ( = $1 ( argmax $2 ( and ( flight $2 ) ( to $0 ci1 ) ( from $0 ci0 ) ) ( departure_time $2 ) ) ) ) ) )
show me all flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
list all flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
show me all al0 first class flight	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( class_type $0 first:cl ) ) )
latest flight from ci1 to ci0	( argmax $0 ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ) ( departure_time $0 ) )
what ground transport is avail at the ap0	( lambda $0 e ( and ( ground_transport $0 ) ( from_airport $0 ap0 ) ) )
i need a flight tonight from ci2 to ci0 with a stop in ci1 and i want dinner	( lambda $0 e ( and ( flight $0 ) ( meal $0 dinner:me ) ( tonight $0 ) ( from $0 ci2 ) ( to $0 ci0 ) ( stop $0 ci1 ) ) )
show me one way flight from ci1 to ci0 with the highest fare	( argmax $0 ( and ( flight $0 ) ( oneway $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ) ( fare $0 ) )
which al0 and al1 go through ci0 befor ti0	( lambda $0 e ( and ( flight $0 ) ( or ( airline $0 al1 ) ( airline $0 al0 ) ) ( < ( arrival_time $0 ) ti0 ) ( stop $0 ci0 ) ) )
what are the most expens first class ticket between ci0 and ci1	( argmax $0 ( and ( class_type $0 first:cl ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( fare $0 ) )
i'd like to book a flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
what are the flight between ci1 and ci0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ) )
show all da0 morn flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( during_day $0 morning:pd ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
what are the earli weekday flight from ci0 to ci1	( lambda $0 e ( and ( during_day $0 early:pd ) ( weekday $0 ) ( to $0 ci1 ) ( from $0 ci0 ) ( flight $0 ) ) )
i would like to know what type of aircraft will be use on the morn of mn0 dn0 from ci0 to ci1	( lambda $0 e ( exists $1 ( and ( during_day $1 morning:pd ) ( from $1 ci0 ) ( to $1 ci1 ) ( day_number $1 dn0 ) ( month $1 mn0 ) ( = ( aircraft_code $1 ) $0 ) ) ) )
show flight from ci0 to ci1 that arriv befor ti0	( lambda $0 e ( and ( flight $0 ) ( < ( arrival_time $0 ) ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
list flight from ci1 to ci0 da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( day $0 da0 ) ) )
how mani passeng can a boe ac0 hold	( capacity boeing:mf )
list all flight from ci0 to ci1 late da0	( lambda $0 e ( and ( flight $0 ) ( during_day $0 late:pd ) ( to $0 ci1 ) ( from $0 ci0 ) ( day $0 da0 ) ) )
ground transport ci0	( lambda $0 e ( and ( ground_transport $0 ) ( to_city $0 ci0 ) ) )
list all flight depart from ap0	( lambda $0 e ( and ( flight $0 ) ( from $0 ap0 ) ) )
i would like to find a flight that goe from ap0 to ci0 i would like the flight to be on al0 and arriv in ci0 around ti0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( approx_arrival_time $0 ti0 ) ( from $0 ap0 ) ( to $0 ci0 ) ) )
i would like a flight leav from ci1 arriv in ci0 with a stopov in ci2	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( stop $0 ci2 ) ) )
pleas list all the takeoff and land for ap0	( lambda $0 e ( and ( flight $0 ) ( or ( from $0 ap0 ) ( to $0 ap0 ) ) ) )
first class from ci1 to ci0	( lambda $0 e ( and ( class_type $0 first:cl ) ( from $0 ci1 ) ( to $0 ci0 ) ) )
what is the distanc from ap0 ci0 intern airport to ap0 ci0	( lambda $0 e ( and ( miles_distant $0 ) ( to_city $0 ci0 ) ( from_airport $0 ap0 ) ) )
all flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
show me all the flight from ci1 to ci0 on al0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( from $0 ci1 ) ( to $0 ci0 ) ) )
okay i want a flight origin in ci0 go to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
what is the minimum connect time for ap0	( lambda $0 e ( minimum_connection_time ap0 $0 ) )
i'd like a ticket on a plane from ci0 to ci1 i would like a coach class or lowest fare ticket	( lambda $0 e ( and ( flight $0 ) ( or ( class_type $0 coach:cl ) ( = $0 ( argmin $1 ( and ( from $1 ci0 ) ( to $1 ci1 ) ) ( fare $1 ) ) ) ) ) )
could you pleas tell me the cheapest fare from ci0 to ci1	( min $0 ( exists $1 ( and ( from $1 ci0 ) ( to $1 ci1 ) ( = ( fare $1 ) $0 ) ) ) )
i would like an earli morn flight from ci0 into ci1 on mn0 dn0 on al0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( during_day $0 early:pd ) ( during_day $0 morning:pd ) ( from $0 ci0 ) ( to $0 ci1 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ) )
list all flight arriv and depart at ap0	( lambda $0 e ( and ( flight $0 ) ( or ( from $0 ap0 ) ( to $0 ap0 ) ) ) )
show me all flight on al0 from ci0 to ci1 california which leav after ti0 o'clock am	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( > ( departure_time $0 ) ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
show me ground transport in ci0	( lambda $0 e ( and ( ground_transport $0 ) ( to_city $0 ci0 ) ) )
flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
which airlin has the smallest plane leav ci0 and arriv in ci1 on mn0 dn0	( airline:e ( argmin $0 ( and ( from $0 ci0 ) ( to $0 ci1 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ) ( capacity $0 ) ) )
flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
what is the cheapest one way fare between ci0 and ci1	( min $0 ( exists $1 ( and ( oneway $1 ) ( from $1 ci0 ) ( to $1 ci1 ) ( = ( fare $1 ) $0 ) ) ) )
pleas give ground transport at ap0	( lambda $0 e ( and ( ground_transport $0 ) ( from_airport $0 ap0 ) ) )
nonstop flight from ci0 citi to ci1 on da0	( lambda $0 e ( and ( flight $0 ) ( nonstop $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
i need a nonstop flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( nonstop $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
what are the flight from ci0 to ci1 on da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
i need a flight from ci0 to ci1 next da0 in the morn	( lambda $0 e ( and ( flight $0 ) ( during_day $0 morning:pd ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
what ground transport is avail in ci0	( lambda $0 e ( and ( ground_transport $0 ) ( to_city $0 ci0 ) ) )
what al0 flight leav ci0 befor ti0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( < ( departure_time $0 ) ti0 ) ( from $0 ci0 ) ) )
okay can you tell me the earliest flight which leav from ci0 to ci1	( argmin $0 ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( departure_time $0 ) )
what are the flight from ci1 to ci0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ) )
ground transport ci0	( lambda $0 e ( and ( ground_transport $0 ) ( to_city $0 ci0 ) ) )
what are the flight from ci0 to ci1 on mn0 dn0 yr0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ( year $0 yr0 ) ) )
show me the flight on al0 to ci0 in the morn	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( during_day $0 morning:pd ) ( to $0 ci0 ) ) )
what is first flight after ti0 from ci0 for ci1	( argmin $0 ( and ( flight $0 ) ( > ( departure_time $0 ) ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( departure_time $0 ) )
what do you have go from ci0 to ci1 serv breakfast	( lambda $0 e ( and ( meal $0 breakfast:me ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
list flight from ci0 to ci1 on da0 morn nonstop	( lambda $0 e ( and ( flight $0 ) ( nonstop $0 ) ( during_day $0 morning:pd ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
i'd like to fli from ci0 to ci1 to ci2 could you find me the cheapest way to do this	( argmin $0 ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci2 ) ( stop $0 ci1 ) ) ( fare $0 ) )
all flight ci0 to ci1 on da0 arriv by ti0	( lambda $0 e ( and ( flight $0 ) ( < ( arrival_time $0 ) ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
what al0 leav ci0 befor ti0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( < ( departure_time $0 ) ti0 ) ( from $0 ci0 ) ) )
show me the flight from ci0 to ci1 with a stopov in ci2	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( stop $0 ci2 ) ) )
what is sa	sa:dc
i would like to find flight from ci1 to ci0 after ti0 o'clock on da0 mn0 dn0 pleas	( lambda $0 e ( and ( flight $0 ) ( > ( departure_time $0 ) ti0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( day $0 da0 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ) )
show me one way flight from ci1 to ci0 depart befor ti0	( lambda $0 e ( and ( flight $0 ) ( oneway $0 ) ( < ( departure_time $0 ) ti0 ) ( from $0 ci1 ) ( to $0 ci0 ) ) )
what is the fare from ci0 to ci1 on al0	( lambda $0 e ( exists $1 ( and ( airline $1 al0 ) ( from $1 ci0 ) ( to $1 ci1 ) ( = ( fare $1 ) $0 ) ) ) )
find me a flight from ci1 to ci0 with layov in ci2 on al0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( stop $0 ci2 ) ) )
what is the last flight from ci0 to ci1	( argmax $0 ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( departure_time $0 ) )
i need to make reserv from ci0 to ci1	( lambda $0 e ( and ( from $0 ci0 ) ( to $0 ci1 ) ) )
show ground transport for ci0	( lambda $0 e ( and ( ground_transport $0 ) ( to_city $0 ci0 ) ) )
i would like a flight from ci0 to ci1 on al0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
show al0 between ci0 and ci1	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
i would like to origin my flight in ci0 stop in ci2 with the destin citi of ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( stop $0 ci2 ) ) )
are there ani flight from ci0 to ci1 to ci2	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci2 ) ( stop $0 ci1 ) ) )
show me the latest dinner flight from ci0 to ci1	( argmax $0 ( and ( flight $0 ) ( meal $0 dinner:me ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( departure_time $0 ) )
pleas repeat the flight departur for da0 mn0 dn0 from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ) )
i need to fli from ci0 to ci1 this da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
all flight to ci0 after ti0	( lambda $0 e ( and ( flight $0 ) ( > ( departure_time $0 ) ti0 ) ( to $0 ci0 ) ) )
what do these cost	( lambda $0 e ( fare $0 ) )
on a flight from ci0 to ci1 that leav befor ti0 is there such a flight	( lambda $0 e ( and ( flight $0 ) ( < ( departure_time $0 ) ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
what flight leav ci0 and arriv in ci1 around ti0 next da0	( lambda $0 e ( and ( flight $0 ) ( approx_arrival_time $0 ti0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day_arrival $0 da0 ) ) )
flight from ci0 to ci1 arriv between ti0 and ti1	( lambda $0 e ( and ( flight $0 ) ( > ( arrival_time $0 ) ti0 ) ( < ( arrival_time $0 ) ti1 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
display type of aircraft depart from ci0 to ci1 befor ti0	( lambda $0 e ( exists $1 ( and ( < ( departure_time $1 ) ti0 ) ( from $1 ci0 ) ( to $1 ci1 ) ( = ( aircraft_code $1 ) $0 ) ) ) )
what round trip flight between ci0 and ci1 qualifi for fare code fb0	( lambda $0 e ( and ( flight $0 ) ( fare_basis_code $0 fb0 ) ( round_trip $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
flight on al0 from ci1 to ci0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( from $0 ci1 ) ( to $0 ci0 ) ) )
what is the earliest flight from ci0 to ci1 that serv a meal	( argmin $0 ( and ( flight $0 ) ( has_meal $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( departure_time $0 ) )
of the flight avail from ci0 to ci1 on mn0 dn0 which airlin has the least expens flight	( airline:e ( argmin $0 ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ) ( fare $0 ) ) )
tell me the flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
what ground transport is avail at ap0	( lambda $0 e ( and ( ground_transport $0 ) ( from_airport $0 ap0 ) ) )
cheapest fare from ci0 to ci1	( min $0 ( exists $1 ( and ( from $1 ci0 ) ( to $1 ci1 ) ( = ( fare $1 ) $0 ) ) ) )
i want to fli from ci0 to ci1 on either da0 even or da1 morn	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( or ( and ( during_day $0 evening:pd ) ( day $0 da0 ) ) ( and ( during_day $0 morning:pd ) ( day $0 da1 ) ) ) ) )
show me flight from ci1 to ci0 on da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( day $0 da0 ) ) )
i want a flight from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
what is the rc0 restrict	rc0
i would like to fli al0 from ci0 to ci1 in the late even what do you have avail	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( during_day $0 late_evening:pd ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
pleas list all flight between ci0 and ci1	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
okay that one great too now we'r go to go on mn0 dn0 ci0 to ci1 the latest nighttim departur one way	( departure_time ( argmax $0 ( and ( oneway $0 ) ( during_day $0 late:pd ) ( from $0 ci0 ) ( to $0 ci1 ) ( day_number $0 dn0 ) ( month $0 mn0 ) ) ( departure_time $0 ) ) )
what even flight do you have avail from ci0 to ci1	( lambda $0 e ( and ( flight $0 ) ( during_day $0 evening:pd ) ( from $0 ci0 ) ( to $0 ci1 ) ) )
find a flight from ci0 to ci1 on da0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
what do you have tomorrow morn from ci0 to ci1	( lambda $0 e ( and ( during_day $0 morning:pd ) ( from $0 ci0 ) ( to $0 ci1 ) ( tomorrow $0 ) ) )
flight from ci0 to ci1 on da0 morn on al0	( lambda $0 e ( and ( flight $0 ) ( airline $0 al0 ) ( during_day $0 morning:pd ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
what is the latest return flight from ci0 to ci1	( argmax $0 ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( departure_time $0 ) )
what flight from ci0 to ci1 arriv earliest in the morn	( argmin $0 ( and ( flight $0 ) ( from $0 ci0 ) ( to $0 ci1 ) ) ( arrival_time $0 ) )
show all flight from ci1 to ci0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ) )
what flight are there tomorrow from ci1 to ci0	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( tomorrow $0 ) ) )
list all al0 from ci0 to ci1 on da0	( lambda $0 e ( and ( airline $0 al0 ) ( from $0 ci0 ) ( to $0 ci1 ) ( day $0 da0 ) ) )
i'd like inform on flight between ci1 and ci0 with a stop in ci2	( lambda $0 e ( and ( flight $0 ) ( from $0 ci1 ) ( to $0 ci0 ) ( stop $0 ci2 ) ) )
show me the fare from ci0 to ci1	( lambda $0 e ( exists $1 ( and ( from $1 ci0 ) ( to $1 ci1 ) ( = ( fare $1 ) $0 ) ) ) )
